year,age,maritl,race,education,jobclass,health_ins,wage
2004,27,1. Never Married,1. White,4. College Grad,2. Information,2. No,54.5981500331
2003,58,2. Married,1. White,2. HS Grad,2. Information,1. Yes,109.8339856422
2003,42,2. Married,1. White,2. HS Grad,1. Industrial,2. No,85.383940379
2008,40,2. Married,1. White,3. Some College,2. Information,1. Yes,87.9810327856
2004,51,4. Divorced,1. White,4. College Grad,1. Industrial,1. Yes,138.2991269209
2009,59,2. Married,1. White,3. Some College,2. Information,2. No,267.9010868553
2003,37,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,196.1252725943
2009,29,2. Married,1. White,4. College Grad,2. Information,2. No,137.5901427665
2004,55,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,89.492479518
2007,38,4. Divorced,2. Black,4. College Grad,2. Information,1. Yes,104.9215065337
2008,33,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,276.7784133212
2005,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,78.392466801
2005,51,2. Married,1. White,4. College Grad,1. Industrial,2. No,127.1157438122
2003,45,2. Married,1. White,4. College Grad,2. Information,1. Yes,99.6894636985
2009,48,2. Married,2. Black,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2004,22,1. Never Married,1. White,4. College Grad,1. Industrial,2. No,66.0446942318
2003,41,1. Never Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,92.8958447895
2007,62,2. Married,1. White,4. College Grad,2. Information,2. No,130.9821773775
2004,55,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,195.6763079905
2006,62,2. Married,1. White,3. Some College,1. Industrial,1. Yes,128.6804882206
2004,44,1. Never Married,2. Black,4. College Grad,2. Information,1. Yes,90.4819133566
2005,41,4. Divorced,2. Black,2. HS Grad,2. Information,1. Yes,118.8843593399
2004,33,2. Married,1. White,1. < HS Grad,2. Information,2. No,20.9343779401
2003,49,1. Never Married,1. White,5. Advanced Degree,1. Industrial,2. No,143.1349408111
2004,51,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,81.2832532843
2003,49,4. Divorced,1. White,3. Some College,2. Information,2. No,176.9896504899
2009,27,1. Never Married,3. Asian,4. College Grad,2. Information,1. Yes,99.6894636985
2006,24,1. Never Married,1. White,3. Some College,1. Industrial,2. No,118.8843593399
2007,52,2. Married,1. White,3. Some College,2. Information,1. Yes,114.4757132903
2003,44,2. Married,3. Asian,2. HS Grad,2. Information,1. Yes,112.6488963421
2008,53,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,134.7053751189
2006,28,1. Never Married,1. White,3. Some College,2. Information,1. Yes,104.9215065337
2003,54,2. Married,1. White,3. Some College,1. Industrial,1. Yes,148.4131591026
2008,44,2. Married,1. White,3. Some College,2. Information,1. Yes,141.7751723332
2003,46,2. Married,1. White,3. Some College,1. Industrial,1. Yes,106.7239776253
2004,39,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,95.230712567
2004,32,2. Married,1. White,3. Some College,1. Industrial,1. Yes,115.1062016913
2005,42,5. Separated,1. White,2. HS Grad,1. Industrial,1. Yes,91.6026156625
2004,39,2. Married,1. White,3. Some College,2. Information,1. Yes,91.6992261117
2003,28,2. Married,1. White,4. College Grad,2. Information,2. No,95.230712567
2003,28,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,87.9810327856
2006,24,1. Never Married,3. Asian,4. College Grad,1. Industrial,1. Yes,109.8339856422
2005,45,4. Divorced,2. Black,2. HS Grad,2. Information,2. No,73.7757432747
2003,40,2. Married,4. Other,3. Some College,2. Information,1. Yes,118.8843593399
2006,23,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. Yes,81.2832532843
2006,56,2. Married,1. White,4. College Grad,2. Information,2. No,124.7204462429
2008,53,4. Divorced,1. White,5. Advanced Degree,1. Industrial,1. Yes,176.9896504899
2008,56,1. Never Married,1. White,1. < HS Grad,2. Information,2. No,81.2832532843
2003,39,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,134.7053751189
2007,25,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,104.9215065337
2009,58,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,114.4757132903
2008,36,2. Married,1. White,3. Some College,1. Industrial,1. Yes,107.9039238669
2009,45,2. Married,1. White,2. HS Grad,2. Information,1. Yes,98.5993438604
2009,47,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,109.8339856422
2009,57,2. Married,1. White,3. Some College,1. Industrial,1. Yes,95.230712567
2009,39,2. Married,1. White,4. College Grad,2. Information,1. Yes,144.4780876654
2004,73,4. Divorced,2. Black,1. < HS Grad,1. Industrial,1. Yes,92.8958447895
2009,57,2. Married,1. White,5. Advanced Degree,2. Information,2. No,109.8339856422
2009,54,2. Married,3. Asian,1. < HS Grad,1. Industrial,2. No,73.7757432747
2008,37,2. Married,1. White,4. College Grad,2. Information,1. Yes,121.4303138226
2009,48,2. Married,1. White,2. HS Grad,2. Information,1. Yes,118.8843593399
2006,25,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,81.2832532843
2007,55,2. Married,2. Black,5. Advanced Degree,2. Information,1. Yes,118.8843593399
2009,52,5. Separated,2. Black,2. HS Grad,1. Industrial,1. Yes,87.9810327856
2005,41,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,149.0558955894
2009,31,2. Married,1. White,4. College Grad,2. Information,1. Yes,133.3806076614
2006,64,2. Married,1. White,2. HS Grad,2. Information,1. Yes,95.230712567
2007,48,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,70.4760196469
2008,39,2. Married,1. White,3. Some College,2. Information,1. Yes,103.9024706032
2006,41,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,119.0133452374
2007,51,2. Married,4. Other,3. Some College,1. Industrial,1. Yes,139.0034080595
2003,64,2. Married,1. White,4. College Grad,2. Information,2. No,107.9039238669
2003,48,2. Married,1. White,2. HS Grad,2. Information,1. Yes,84.5294690249
2005,24,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,109.8339856422
2004,45,2. Married,1. White,3. Some College,2. Information,2. No,99.6894636985
2003,44,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,160.6424754083
2008,44,2. Married,1. White,2. HS Grad,1. Industrial,2. No,65.1108537153
2007,44,2. Married,1. White,4. College Grad,2. Information,1. Yes,166.3249412339
2008,43,2. Married,1. White,2. HS Grad,2. Information,1. Yes,49.5553381215
2006,32,1. Never Married,2. Black,2. HS Grad,1. Industrial,2. No,94.0727147457
2007,57,2. Married,1. White,4. College Grad,2. Information,1. Yes,125.5254984338
2003,50,2. Married,1. White,2. HS Grad,2. Information,1. Yes,141.0888743913
2004,38,2. Married,1. White,3. Some College,2. Information,1. Yes,176.9896504899
2008,,2. Married,1. White,3. Some College,1. Industrial,1. Yes,145.1436011769
2009,53,2. Married,1. White,4. College Grad,2. Information,1. Yes,141.7751723332
2006,39,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,112.1369229922
2004,25,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,90.4819133566
2007,60,2. Married,1. White,2. HS Grad,2. Information,1. Yes,101.8243520757
2003,48,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,133.2323508266
2007,59,2. Married,1. White,3. Some College,2. Information,1. Yes,96.3706528322
2003,40,2. Married,1. White,4. College Grad,2. Information,1. Yes,268.2662920126
2007,23,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,73.4544282608
2009,38,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,176.9896504899
2009,42,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,112.6488963421
2004,21,1. Never Married,1. White,2. HS Grad,2. Information,2. No,55.7673905085
2007,51,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,126.08505729
2008,56,2. Married,1. White,4. College Grad,1. Industrial,2. No,134.7053751189
2004,27,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,99.6894636985
2003,62,2. Married,1. White,3. Some College,2. Information,2. No,25.2910080971
2005,50,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,182.0206209635
2005,48,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,277.601417511
2006,50,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,123.0896998479
2004,37,2. Married,1. White,3. Some College,2. Information,1. Yes,176.9896504899
2003,26,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,94.0727147457
2008,23,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,73.7757432747
2008,43,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,104.9215065337
2006,35,2. Married,1. White,5. Advanced Degree,1. Industrial,2. No,91.093218469
2008,30,1. Never Married,2. Black,3. Some College,2. Information,2. No,69.7915308454
2007,19,1. Never Married,1. White,3. Some College,1. Industrial,2. No,41.4412130349
2006,63,2. Married,1. White,3. Some College,2. Information,1. Yes,125.5254984338
2006,19,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,76.8936025176
2009,21,1. Never Married,1. White,3. Some College,1. Industrial,2. No,49.5553381215
2007,35,2. Married,1. White,5. Advanced Degree,2. Information,2. No,94.0727147457
2005,51,2. Married,2. Black,2. HS Grad,1. Industrial,1. Yes,78.2145756932
2003,33,2. Married,1. White,2. HS Grad,2. Information,2. No,104.9215065337
2007,36,2. Married,1. White,2. HS Grad,2. Information,1. Yes,127.1157438122
2005,43,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2006,41,1. Never Married,1. White,3. Some College,2. Information,1. Yes,114.4757132903
2005,42,2. Married,1. White,3. Some College,2. Information,1. Yes,134.7053751189
2005,23,1. Never Married,4. Other,2. HS Grad,2. Information,2. No,73.7757432747
2004,58,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,75.0431540174
2008,60,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,104.9215065337
2007,45,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,163.5158639762
2003,38,1. Never Married,2. Black,1. < HS Grad,1. Industrial,1. Yes,94.0727147457
2009,63,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,110.7826502763
2009,54,2. Married,3. Asian,3. Some College,2. Information,1. Yes,134.7053751189
2003,43,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,130.6022275203
2009,37,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,267.9010868553
2009,61,1. Never Married,1. White,2. HS Grad,2. Information,2. No,65.1108537153
2006,26,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,95.230712567
2006,29,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2008,50,2. Married,2. Black,2. HS Grad,1. Industrial,1. Yes,85.383940379
2006,40,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,166.3249412339
2009,46,2. Married,1. White,3. Some College,2. Information,1. Yes,169.0735400494
2003,58,2. Married,1. White,3. Some College,1. Industrial,1. Yes,130.9821773775
2008,45,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,200.5432623247
2004,51,2. Married,1. White,3. Some College,1. Industrial,2. No,90.4819133566
2006,49,2. Married,1. White,3. Some College,1. Industrial,1. Yes,123.908567598
2009,50,2. Married,1. White,2. HS Grad,2. Information,1. Yes,87.9810327856
2007,29,1. Never Married,1. White,3. Some College,2. Information,1. Yes,103.9024706032
2008,53,1. Never Married,2. Black,3. Some College,2. Information,1. Yes,128.2526610966
2004,37,2. Married,1. White,4. College Grad,2. Information,1. Yes,148.4131591026
2003,25,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,86.6951548289
2003,22,1. Never Married,1. White,3. Some College,1. Industrial,2. No,34.6074177301
2005,62,2. Married,1. White,4. College Grad,2. Information,2. No,99.6894636985
2009,27,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,96.8667032433
2006,41,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,277.7994802057
2006,49,2. Married,1. White,5. Advanced Degree,2. Information,2. No,138.2991269209
2005,24,1. Never Married,1. White,2. HS Grad,2. Information,2. No,73.7757432747
2007,38,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,99.6894636985
2008,23,2. Married,1. White,4. College Grad,1. Industrial,2. No,36.6737041961
2003,69,2. Married,2. Black,1. < HS Grad,2. Information,1. Yes,114.4757132903
2006,41,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,101.8243520757
2008,27,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,102.4535575784
2004,32,2. Married,1. White,2. HS Grad,2. Information,1. Yes,70.8150386168
2005,55,2. Married,1. White,4. College Grad,2. Information,1. Yes,160.6424754083
2005,59,2. Married,1. White,2. HS Grad,2. Information,2. No,104.9215065337
2006,43,1. Never Married,2. Black,5. Advanced Degree,1. Industrial,1. Yes,119.7408512962
2003,30,2. Married,1. White,2. HS Grad,1. Industrial,2. No,63.1888610037
2003,80,2. Married,1. White,2. HS Grad,2. Information,1. Yes,79.8549003093
2008,33,2. Married,1. White,2. HS Grad,1. Industrial,2. No,81.2832532843
2009,54,2. Married,1. White,2. HS Grad,2. Information,1. Yes,134.7053751189
2009,53,2. Married,1. White,2. HS Grad,2. Information,1. Yes,107.9039238669
2005,29,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,115.3750385564
2005,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,116.2653240625
2009,70,2. Married,3. Asian,5. Advanced Degree,2. Information,2. No,127.9012329791
2003,37,2. Married,1. White,2. HS Grad,1. Industrial,2. No,118.01975334
2008,30,2. Married,3. Asian,2. HS Grad,2. Information,2. No,59.0970640816
2006,36,2. Married,1. White,3. Some College,2. Information,2. No,83.3213415448
2006,32,1. Never Married,1. White,3. Some College,2. Information,1. Yes,100.7642728421
2009,75,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,85.383940379
2007,47,2. Married,3. Asian,4. College Grad,2. Information,2. No,105.9278107751
2004,44,4. Divorced,1. White,5. Advanced Degree,2. Information,1. Yes,120.5894365304
2004,40,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,99.6894636985
2006,28,1. Never Married,2. Black,3. Some College,1. Industrial,1. Yes,109.8339856422
2003,60,4. Divorced,1. White,4. College Grad,2. Information,2. No,85.383940379
2005,54,2. Married,1. White,4. College Grad,2. Information,1. Yes,170.1568344178
2008,56,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,141.7751723332
2005,34,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,147.11668916
2003,29,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,87.9810327856
2007,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,82.6796372966
2004,37,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,57.4636470385
2006,58,2. Married,1. White,2. HS Grad,1. Industrial,2. No,79.8549003093
2006,39,2. Married,1. White,2. HS Grad,1. Industrial,2. No,81.2832532843
2008,52,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,136.8763676352
2004,53,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,118.8843593399
2004,43,2. Married,2. Black,1. < HS Grad,2. Information,1. Yes,79.8549003093
2008,40,2. Married,1. White,3. Some College,1. Industrial,1. Yes,154.6852929956
2009,45,2. Married,1. White,4. College Grad,1. Industrial,2. No,127.1157438122
2005,67,4. Divorced,1. White,4. College Grad,2. Information,2. No,76.8936025176
2005,40,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,130.9821773775
2009,24,1. Never Married,1. White,2. HS Grad,2. Information,2. No,66.2294082944
2003,31,2. Married,1. White,4. College Grad,1. Industrial,2. No,87.9810327856
2005,40,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,94.0727147457
2004,34,2. Married,1. White,3. Some College,1. Industrial,2. No,145.1436011769
2004,34,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,114.4757132903
2003,44,1. Never Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,130.9821773775
2004,50,2. Married,1. White,2. HS Grad,2. Information,1. Yes,79.8549003093
2007,38,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,62.3983547206
2003,48,2. Married,1. White,2. HS Grad,2. Information,2. No,70.4760196469
2004,24,1. Never Married,1. White,3. Some College,2. Information,2. No,59.0970640816
2003,38,2. Married,1. White,3. Some College,2. Information,1. Yes,94.0727147457
2009,35,2. Married,1. White,3. Some College,1. Industrial,1. Yes,137.4812478317
2003,63,4. Divorced,2. Black,3. Some College,1. Industrial,1. Yes,64.2743972206
2007,29,2. Married,1. White,2. HS Grad,1. Industrial,2. No,89.492479518
2007,52,2. Married,1. White,3. Some College,2. Information,1. Yes,149.0558955894
2009,37,2. Married,1. White,4. College Grad,2. Information,1. Yes,123.0896998479
2006,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,103.9024706032
2008,53,2. Married,1. White,3. Some College,1. Industrial,2. No,105.9278107751
2004,40,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,171.7651326275
2003,50,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,120.5894365304
2006,35,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,114.4757132903
2007,53,2. Married,1. White,2. HS Grad,1. Industrial,2. No,133.2323508266
2008,57,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,110.7826502763
2004,44,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,123.0896998479
2009,59,2. Married,2. Black,3. Some College,2. Information,2. No,87.9810327856
2007,33,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,167.9811282028
2007,37,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,123.0896998479
2004,26,1. Never Married,1. White,4. College Grad,1. Industrial,2. No,82.6796372966
2003,25,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,81.2832532843
2007,42,2. Married,1. White,3. Some College,2. Information,2. No,95.6888119067
2009,35,2. Married,1. White,3. Some College,2. Information,1. Yes,109.8339856422
2009,58,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2009,39,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,156.5035108826
2003,60,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,
2003,30,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,200.5432623247
2004,35,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,118.8843593399
2008,47,2. Married,3. Asian,4. College Grad,1. Industrial,2. No,87.9810327856
2004,73,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,75.355679318
2003,36,2. Married,1. White,2. HS Grad,1. Industrial,2. No,115.3750385564
2009,60,2. Married,1. White,5. Advanced Degree,2. Information,2. No,138.2991269209
2004,49,1. Never Married,4. Other,1. < HS Grad,1. Industrial,1. Yes,87.9810327856
2009,62,2. Married,2. Black,4. College Grad,2. Information,1. Yes,118.8843593399
,44,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,102.8702469332
2008,52,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,176.9896504899
2009,58,2. Married,1. White,2. HS Grad,2. Information,2. No,32.3664131749
2004,36,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,131.737801155
2008,38,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,89.492479518
2008,39,2. Married,1. White,2. HS Grad,2. Information,2. No,99.6894636985
2004,53,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,127.1157438122
2004,40,2. Married,1. White,3. Some College,1. Industrial,2. No,73.7757432747
2007,38,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,166.3249412339
2008,57,2. Married,1. White,2. HS Grad,1. Industrial,2. No,116.2653240625
2004,44,1. Never Married,1. White,3. Some College,2. Information,1. Yes,117.1468169148
2005,52,2. Married,1. White,2. HS Grad,2. Information,2. No,100.7642728421
2009,55,2. Married,1. White,4. College Grad,2. Information,1. Yes,141.7751723332
2007,47,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,85.383940379
2009,56,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,118.8843593399
2006,47,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,182.0206209635
2007,54,2. Married,2. Black,3. Some College,1. Industrial,1. Yes,101.8243520757
2003,60,2. Married,1. White,5. Advanced Degree,1. Industrial,2. No,104.9215065337
2007,41,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,110.7826502763
2004,34,2. Married,1. White,3. Some College,1. Industrial,1. Yes,81.2832532843
2008,40,2. Married,1. White,5. Advanced Degree,2. Information,,160.6424754083
2005,30,2. Married,2. Black,3. Some College,1. Industrial,2. No,104.9215065337
2005,52,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,87.9810327856
2006,56,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,71.6867436659
2003,24,1. Never Married,1. White,4. College Grad,2. Information,2. No,99.6894636985
2003,32,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,114.1133945101
2003,52,2. Married,1. White,4. College Grad,1. Industrial,2. No,72.1504556816
2008,41,2. Married,1. White,4. College Grad,2. Information,1. Yes,176.9896504899
2004,20,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,65.1108537153
2006,31,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,43.735111678
2006,30,2. Married,1. White,3. Some College,1. Industrial,2. No,118.8843593399
2004,45,2. Married,1. White,4. College Grad,2. Information,1. Yes,123.0896998479
2005,45,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,200.5432623247
2003,61,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,148.4131591026
2004,29,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,86.6951548289
2005,41,2. Married,1. White,2. HS Grad,1. Industrial,2. No,94.0727147457
2008,27,2. Married,1. White,3. Some College,2. Information,1. Yes,100.7642728421
2008,36,2. Married,1. White,2. HS Grad,2. Information,2. No,54.5981500331
2006,45,2. Married,1. White,4. College Grad,2. Information,1. Yes,116.2653240625
2005,53,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,114.4757132903
2003,29,2. Married,3. Asian,2. HS Grad,1. Industrial,1. Yes,95.230712567
2008,30,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,138.2991269209
2003,62,3. Widowed,1. White,1. < HS Grad,1. Industrial,2. No,62.0303046061
2003,42,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,56.9055391447
2007,50,2. Married,1. White,4. College Grad,2. Information,1. Yes,144.2047388929
2005,34,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,82.6796372966
2009,41,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,114.4757132903
2006,60,2. Married,1. White,3. Some College,1. Industrial,1. Yes,96.0316570194
2006,26,1. Never Married,2. Black,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2004,31,2. Married,2. Black,2. HS Grad,1. Industrial,2. No,84.045957654
2009,25,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,76.8936025176
2003,33,4. Divorced,1. White,5. Advanced Degree,2. Information,1. Yes,120.5894365304
2004,40,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,131.737801155
2008,58,5. Separated,1. White,1. < HS Grad,1. Industrial,1. Yes,99.6894636985
2009,56,2. Married,1. White,3. Some College,1. Industrial,1. Yes,140.3982001619
2004,38,2. Married,1. White,4. College Grad,2. Information,1. Yes,102.8702469332
2004,44,2. Married,1. White,2. HS Grad,2. Information,1. Yes,109.8339856422
2008,50,2. Married,1. White,4. College Grad,2. Information,1. Yes,148.4131591026
2003,33,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,62.9136549692
2007,46,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,281.7459705519
2003,51,5. Separated,1. White,2. HS Grad,1. Industrial,1. Yes,148.4131591026
2007,25,1. Never Married,4. Other,2. HS Grad,1. Industrial,1. Yes,92.8958447895
2003,40,2. Married,1. White,2. HS Grad,1. Industrial,2. No,118.8843593399
2004,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2004,28,1. Never Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,117.1468169148
2007,48,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,111.720849361
2005,35,2. Married,1. White,2. HS Grad,2. Information,1. Yes,86.0428011302
2008,44,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,148.4131591026
2009,55,2. Married,1. White,1. < HS Grad,2. Information,2. No,79.8549003093
2004,45,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,154.6852929956
2008,55,2. Married,1. White,4. College Grad,1. Industrial,2. No,127.1157438122
2008,48,2. Married,1. White,4. College Grad,2. Information,1. Yes,128.6804882206
2005,,2. Married,1. White,4. College Grad,2. Information,1. Yes,114.4757132903
2004,54,4. Divorced,1. White,4. College Grad,1. Industrial,2. No,87.9810327856
2005,40,2. Married,1. White,3. Some College,2. Information,1. Yes,133.2323508266
2006,35,1. Never Married,1. White,3. Some College,1. Industrial,2. No,59.0970640816
2007,27,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,109.8339856422
2003,36,5. Separated,,3. Some College,2. Information,2. No,91.6992261117
2008,55,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,109.8339856422
2005,50,4. Divorced,1. White,2. HS Grad,2. Information,1. Yes,75.0431540174
2009,30,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,125.5254984338
2004,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,84.3911147478
2006,51,2. Married,1. White,4. College Grad,2. Information,1. Yes,130.9821773775
2007,36,2. Married,1. White,3. Some College,1. Industrial,1. Yes,145.1436011769
2006,34,1. Never Married,2. Black,5. Advanced Degree,2. Information,1. Yes,309.5717712662
2003,40,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,141.7751723332
2003,58,2. Married,1. White,2. HS Grad,1. Industrial,2. No,104.9215065337
2007,41,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,114.4757132903
2004,30,2. Married,1. White,4. College Grad,2. Information,1. Yes,114.4757132903
2006,31,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,81.2832532843
2006,29,2. Married,1. White,3. Some College,2. Information,1. Yes,95.230712567
2004,24,1. Never Married,2. Black,2. HS Grad,2. Information,1. Yes,75.355679318
2007,43,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,82.6796372966
2006,52,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,127.9012329791
2008,21,2. Married,4. Other,2. HS Grad,1. Industrial,2. No,54.5981500331
2005,34,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,109.8339856422
2004,45,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,272.2947832201
2004,53,3. Widowed,1. White,2. HS Grad,1. Industrial,1. Yes,117.1468169148
2008,45,2. Married,1. White,2. HS Grad,2. Information,2. No,84.045957654
2006,52,2. Married,1. White,2. HS Grad,1. Industrial,2. No,101.8243520757
2006,36,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,277.7994802057
,28,2. Married,1. White,3. Some College,1. Industrial,,103.9024706032
2008,51,2. Married,1. White,2. HS Grad,2. Information,1. Yes,105.9278107751
2005,43,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,134.7053751189
2004,32,2. Married,1. White,4. College Grad,2. Information,1. Yes,109.3556264003
2006,32,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,87.9810327856
2005,56,2. Married,3. Asian,3. Some College,2. Information,1. Yes,81.9853178345
2006,58,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,149.6950420685
2007,47,2. Married,2. Black,4. College Grad,2. Information,1. Yes,73.7757432747
2007,48,2. Married,1. White,4. College Grad,2. Information,1. Yes,104.9215065337
